No. Time Source Destination Protocol Length Info
75 1.013078 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 44610 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
76 1.01308 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 46070 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
77 1.013082 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 47530 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
78 1.013084 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [PSH  ACK] Seq = 48990 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
79 1.013086 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 50450 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
80 1.013088 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 51910 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
81 1.013312 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 21250 Win = 57216 Len = 0
82 1.013312 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 22710 Win = 60032 Len = 0
83 1.013312 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 24170 Win = 62976 Len = 0
84 1.013312 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 25630 Win = 64128 Len = 0
85 1.013344 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 53370 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
86 1.013347 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 54830 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
87 1.01335 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 56290 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
88 1.013351 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 57750 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
89 1.013353 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 59210 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
90 1.013355 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 60670 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
91 1.013357 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 62130 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
92 1.013359 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 63590 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
93 1.013678 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 27090 Win = 64128 Len = 0
94 1.013678 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 28550 Win = 64128 Len = 0
95 1.013678 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 30010 Win = 64128 Len = 0
96 1.013678 114.212.128.2 172.27.136.12 TCP 60 80  >  65338 [ACK] Seq = 1 Ack = 31470 Win = 64128 Len = 0
97 1.013706 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [PSH  ACK] Seq = 65050 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
98 1.01371 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 66510 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
99 1.013712 172.27.136.12 114.212.128.2 TCP 1514 65338  >  80 [ACK] Seq = 67970 Ack = 1 Win = 65536 Len = 1460 [TCP segment of a reassembled PDU]
